Product_Name,Brand,Model,Connectivity,Type,Keys_Count,Special_Keys,Colour,Features,Selling_Price,MRP,Discount,Rating,Reviews,URL
Let us know,Let,,,,,No,,,799,"₹1,699₹1,699",,3.9 out of 5 stars,"5,686",https://www.amazon.in#
Let us know,Let,,,,,No,,,799,"₹1,799₹1,799",,3.9 out of 5 stars,"5,686",https://www.amazon.in#
Let us know,Let,,,,,No,,,"1,599","₹3,999₹3,999",,4.2 out of 5 stars,"35,100",https://www.amazon.in#
Let us know,Let,,,,,No,,,"2,439","₹9,999₹9,999",,4.4 out of 5 stars,467,https://www.amazon.in#
Let us know,Let,,,,,No,,,"1,399","₹1,999₹1,999",,4.3 out of 5 stars,61,https://www.amazon.in#
Let us know,Let,,,,,No,,,649,"₹2,199₹2,199",,4.0 out of 5 stars,"3,426",https://www.amazon.in#
Let us know,Let,,,,,No,,,"2,015","₹5,999.99₹5,999.99",,4.2 out of 5 stars,577,https://www.amazon.in#
Let us know,Let,,,,,No,,,"2,995","₹4,195₹4,195",,4.3 out of 5 stars,827,https://www.amazon.in#
Let us know,Let,,,,,No,,,698,"₹1,299₹1,299",,4.0 out of 5 stars,"7,721",https://www.amazon.in#
Let us know,Let,,,,,No,,,799,"₹1,699₹1,699",,3.9 out of 5 stars,"5,686",https://www.amazon.in#
Let us know,Let,,,,,No,,,"1,499","₹2,499₹2,499",,4.2 out of 5 stars,"1,326",https://www.amazon.in#
Let us know,Let,,,,,No,,,539,₹649₹649,,4.3 out of 5 stars,"39,095",https://www.amazon.in#
Let us know,Let,,,,,No,,,"1,529","₹2,999₹2,999",,3.8 out of 5 stars,30,https://www.amazon.in#
Let us know,Let,,,,,No,,,"3,698","₹4,799₹4,799",,4.4 out of 5 stars,334,https://www.amazon.in#
Let us know,Let,,,,,No,,,799,"₹1,799₹1,799",,3.9 out of 5 stars,"5,686",https://www.amazon.in#
Let us know,Let,,,,,No,,,"2,015","₹5,999.99₹5,999.99",,4.2 out of 5 stars,577,https://www.amazon.in#
Let us know,Let,,,,,No,,,"2,439","₹9,999₹9,999",,4.4 out of 5 stars,467,https://www.amazon.in#
