Product_Name,Brand,Model,Connectivity,Type,Battery_Life,Driver_Size,Mic,Colour,Features,Selling_Price,MRP,Discount,Rating,Reviews,URL
Let us know,Let,,,,,,No,,,"2,299","₹6,999₹6,999",,4.0 out of 5 stars,"4,265",https://www.amazon.in#
Let us know,Let,,,,,,No,,,"29,999","₹39,999₹39,999",,4.3 out of 5 stars,537,https://www.amazon.in#
Let us know,Let,,,,,,No,,,"24,989","₹35,900₹35,900",,4.2 out of 5 stars,"7,625",https://www.amazon.in#
Let us know,Let,,,,,,No,,,"4,998","₹9,999₹9,999",,4.0 out of 5 stars,"26,180",https://www.amazon.in#
"Sony WH-1000XM4 Industry Leading Wireless Noise Cancellation Bluetooth Over Ear Headphones with Mic for Phone Calls, 30 Hours Battery Life, Quick Charge, AUX, Touch Control and Voice Control - Black",Sony,WH,Wireless,Over-Ear,30 Hours,,Yes,Blue,ANC,"19,980","₹29,990₹29,990",,4.5 out of 5 stars,"56,930",https://www.amazon.in/Sony-WH-1000XM4-Cancelling-Headphones-Bluetooth/dp/B0863TXGM3/ref=sr_1_19?dib=eyJ2IjoiMSJ9.OG29QUFaGgiDyaDLUDjGcR5ML5P3aL_yEUCbpvuMQgHpSdjdqfGq6bZX0v0qIRwtzI9maFh6Z1jVks5Nw62JVrhe77ZQi3LKX6rx9oHGrKArppbPB0WOeUuANTcrMAm9tTuYw0zeqR4q1sqKU2i3ifMaMmZOvmdw_aqALZpfFjgIzxP3UueCC9TQoNUVGxA3C6-9WujfCCSj_YBo7mXDu36Zqu0Uq9o6RmrpI1jDioE.gih-aXvcKS7j_3c23lLTCOamUhXUgM5cDVpZ6Y87b-o&dib_tag=se&keywords=headphones&qid=1758672941&sr=8-19
"GOBOULT Newly Launched Soniq Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, Dual Device Pairing, AUX Option, Wireless Headphones (Black)",GOBOULT,Newly Launched Soniq Over Ear Bluetooth Headphones with 70H Playtime,Wireless,Over-Ear,,40mm,Yes,Blue,Fast Charging,"1,799","₹5,999₹5,999",,4.1 out of 5 stars,300,https://www.amazon.in/Boult-Launched-Bluetooth-Headphones-Playtime/dp/B0F9YV4KDD/ref=sr_1_20?dib=eyJ2IjoiMSJ9.OG29QUFaGgiDyaDLUDjGcR5ML5P3aL_yEUCbpvuMQgHpSdjdqfGq6bZX0v0qIRwtzI9maFh6Z1jVks5Nw62JVrhe77ZQi3LKX6rx9oHGrKArppbPB0WOeUuANTcrMAm9tTuYw0zeqR4q1sqKU2i3ifMaMmZOvmdw_aqALZpfFjgIzxP3UueCC9TQoNUVGxA3C6-9WujfCCSj_YBo7mXDu36Zqu0Uq9o6RmrpI1jDioE.gih-aXvcKS7j_3c23lLTCOamUhXUgM5cDVpZ6Y87b-o&dib_tag=se&keywords=headphones&qid=1758672941&sr=8-20
"JBL Tune 770NC Wireless Over Ear ANC Headphones with Mic, Upto 70 Hrs Battery, Speed Charge : 5 min Charge Gives up to 3H of Playback, Google Fast Pair, Dual Pairing, BT 5.3 (Black)",JBL,Tune 770NC Wireless Over Ear ANC Headphones with Mic,Wireless,Over-Ear,70 Hrs,,Yes,Black,ANC,"4,998","₹9,999₹9,999",,4.0 out of 5 stars,"26,180",https://www.amazon.in/JBL-Wireless-Headphones-Speedcharge-Customize/dp/B09CYX92NB/ref=sr_1_21?dib=eyJ2IjoiMSJ9.OG29QUFaGgiDyaDLUDjGcR5ML5P3aL_yEUCbpvuMQgHpSdjdqfGq6bZX0v0qIRwtzI9maFh6Z1jVks5Nw62JVrhe77ZQi3LKX6rx9oHGrKArppbPB0WOeUuANTcrMAm9tTuYw0zeqR4q1sqKU2i3ifMaMmZOvmdw_aqALZpfFjgIzxP3UueCC9TQoNUVGxA3C6-9WujfCCSj_YBo7mXDu36Zqu0Uq9o6RmrpI1jDioE.gih-aXvcKS7j_3c23lLTCOamUhXUgM5cDVpZ6Y87b-o&dib_tag=se&keywords=headphones&qid=1758672941&sr=8-21
"Portronics Muffs M2 Bluetooth Headphones Over Ear with Upto 40 Hrs Playtime, 40mm Dynamic Drivers, AUX 3.5mm, Powerful Bass, Laptop & PC Support,Type C Charging Port, Foldable Design(White)",Portronics,Muffs M2 Bluetooth Headphones Over Ear with Upto 40 Hrs Playtime,Wireless,Over-Ear,40 Hrs,40mm,Yes,Blue,,749,"₹2,499₹2,499",,3.9 out of 5 stars,780,https://www.amazon.in/Portronics-Bluetooth-Headphones-Playtime-Powerful/dp/B0C4HDNDGN/ref=sr_1_22?dib=eyJ2IjoiMSJ9.OG29QUFaGgiDyaDLUDjGcR5ML5P3aL_yEUCbpvuMQgHpSdjdqfGq6bZX0v0qIRwtzI9maFh6Z1jVks5Nw62JVrhe77ZQi3LKX6rx9oHGrKArppbPB0WOeUuANTcrMAm9tTuYw0zeqR4q1sqKU2i3ifMaMmZOvmdw_aqALZpfFjgIzxP3UueCC9TQoNUVGxA3C6-9WujfCCSj_YBo7mXDu36Zqu0Uq9o6RmrpI1jDioE.gih-aXvcKS7j_3c23lLTCOamUhXUgM5cDVpZ6Y87b-o&dib_tag=se&keywords=headphones&qid=1758672941&sr=8-22
"boAt Bassheads 900 Pro Wired Headphones with 40Mm Drivers, Lightweight Foldable Design, Over Ear, Remote Control, Unidirectional Retractable Mic, Adjustable Headband & USB Type-A Compatibility(Black)",boAt,Bassheads 900 Pro Wired Headphones with 40Mm Drivers,Wired,Over-Ear,,40Mm,Yes,red,,989,"₹4,990₹4,990",,4.1 out of 5 stars,"99,607",https://www.amazon.in/boAt-Bassheads-900-Pro-Unidirectional/dp/B0DHDDF5J2/ref=sr_1_23?dib=eyJ2IjoiMSJ9.OG29QUFaGgiDyaDLUDjGcR5ML5P3aL_yEUCbpvuMQgHpSdjdqfGq6bZX0v0qIRwtzI9maFh6Z1jVks5Nw62JVrhe77ZQi3LKX6rx9oHGrKArppbPB0WOeUuANTcrMAm9tTuYw0zeqR4q1sqKU2i3ifMaMmZOvmdw_aqALZpfFjgIzxP3UueCC9TQoNUVGxA3C6-9WujfCCSj_YBo7mXDu36Zqu0Uq9o6RmrpI1jDioE.gih-aXvcKS7j_3c23lLTCOamUhXUgM5cDVpZ6Y87b-o&dib_tag=se&keywords=headphones&qid=1758672941&sr=8-23
"boAt Rockerz 113 (2025 Launch), 40 Hrs Playback, Dual Pair, Fast Charge, Enx Tech, Low Latency, Magnetic Buds, Bluetooth Neckband, Wireless with Mic in Ear Earphones(Active Black)",boAt,,Wireless,In-Ear,40 Hrs,,Yes,Blue,Low Latency,699,"₹2,490₹2,490",,4.0 out of 5 stars,"1,922",https://www.amazon.in/boAt-Rockerz-Playback-Bluetooth-Earphones/dp/B0F7Y54PJX/ref=sr_1_24?dib=eyJ2IjoiMSJ9.OG29QUFaGgiDyaDLUDjGcR5ML5P3aL_yEUCbpvuMQgHpSdjdqfGq6bZX0v0qIRwtzI9maFh6Z1jVks5Nw62JVrhe77ZQi3LKX6rx9oHGrKArppbPB0WOeUuANTcrMAm9tTuYw0zeqR4q1sqKU2i3ifMaMmZOvmdw_aqALZpfFjgIzxP3UueCC9TQoNUVGxA3C6-9WujfCCSj_YBo7mXDu36Zqu0Uq9o6RmrpI1jDioE.gih-aXvcKS7j_3c23lLTCOamUhXUgM5cDVpZ6Y87b-o&dib_tag=se&keywords=headphones&qid=1758672941&sr=8-24
